Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
8.69,-14.32394488,-32.22887598,-17.9049311,0.982653061,-0.021428571,-0.101020408,-114.625,-10.125,22.0625
8.75,-42.97183463,-21.48591732,-17.9049311,0.980612245,-0.015306122,-0.109183673,-115,-11.1875,21.3125
8.81,-14.32394488,-7.161972439,-3.58098622,0.982653061,-0.003061224,-0.118367347,-115,-10.5,22.0625
8.88,3.58098622,-7.161972439,7.161972439,0.982653061,-0.009183673,-0.107142857,-115,-10.5,22.0625
8.94,-10.74295866,-3.58098622,10.74295866,0.980612245,-0.009183673,-0.103061224,-114.25,-10.125,24.1875
9.00,14.32394488,-10.74295866,10.74295866,0.982653061,-0.019387755,-0.098979592,-115.3125,-10.125,20.9375
9.06,-39.39084842,-3.58098622,10.74295866,0.980612245,-0.021428571,-0.098979592,-115.3125,-10.125,20.9375
9.13,3.58098622,-21.48591732,-10.74295866,0.982653061,-0.019387755,-0.105102041,-113.875,-10.5,23.4375
9.19,-50.13380707,-3.58098622,-3.58098622,0.982653061,-0.013265306,-0.105102041,-114.25,-11.5625,23.125
9.25,14.32394488,-7.161972439,-14.32394488,0.982653061,-0.007142857,-0.109183673,-114.25,-11.5625,23.125
9.31,-35.8098622,-14.32394488,-3.58098622,0.980612245,-0.01122449,-0.107142857,-115.6875,-9.75,21.6875
9.38,-10.74295866,-7.161972439,0,0.978571429,-0.005102041,-0.105102041,-113.875,-10.875,21.3125
9.44,0,-14.32394488,7.161972439,0.982653061,-0.015306122,-0.101020408,-113.875,-10.875,21.3125
9.50,-32.22887598,-17.9049311,17.9049311,0.980612245,-0.01122449,-0.107142857,-114.25,-10.875,22.0625
9.56,0,-10.74295866,0,0.984693878,-0.019387755,-0.103061224,-115.6875,-11.5625,22
9.63,-42.97183463,-10.74295866,-3.58098622,0.982653061,-0.019387755,-0.103061224,-115.6875,-11.5625,22
9.69,-7.161972439,-10.74295866,-10.74295866,0.980612245,-0.013265306,-0.113265306,-114.625,-10.875,22.375
9.75,-42.97183463,7.161972439,-3.58098622,0.984693878,-0.009183673,-0.107142857,-114.25,-11.1875,21.6875
