Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
36.69,19638.12843,-1102.943756,-1042.06699,-0.192857143,0.02244898,-0.091836735,-115,-6.5,21.6875
36.75,19251.38192,-1049.228962,-895.2465549,-0.185714286,0.013265306,-0.079591837,-114.25,-4.6875,29.125
36.81,18950.57907,-934.6374033,-777.0740096,-0.179591837,0.02244898,-0.07755102,-114.625,2.125,34.5
36.88,18621.12834,-787.8169683,-687.5493542,-0.173469388,0.021428571,-0.071428571,-114.625,2.125,34.5
36.94,18313.16353,-623.0916022,-666.0634368,-0.163265306,0.030612245,-0.071428571,-112.8125,9.6875,32.6875
37.00,17926.41702,-472.690181,-698.2923128,-0.160204082,0.034693878,-0.069387755,-114.25,15.125,27
37.06,17536.08952,-379.5845393,-741.2641475,-0.158163265,0.032653061,-0.056122449,-114.25,15.125,27
37.13,17181.57188,-318.7077735,-816.4648581,-0.160204082,0.044897959,-0.054081633,-115,17.625,21.6875
37.19,16862.86411,-279.3169251,-866.5986651,-0.156122449,0.044897959,-0.054081633,-114.625,16.5625,15.25
37.25,16504.76549,-254.2500216,-909.5704998,-0.152040816,0.052040816,-0.054081633,-114.625,16.5625,15.25
37.31,16182.47673,-239.9260767,-948.9613482,-0.15,0.054081633,-0.047959184,-114.25,10.4375,9.25
37.38,15802.89219,-247.0880492,-991.9331828,-0.152040816,0.056122449,-0.047959184,-115.6875,4.3125,8.125
37.44,15462.6985,-272.1549527,-1020.581073,-0.15,0.064285714,-0.047959184,-115.6875,4.3125,8.125
37.50,15036.56114,-361.6796082,-1034.905017,-0.147959184,0.062244898,-0.03877551,-115,-2.5625,9.25
